,colorIdentity,U,R,G,W,B ,None
22131,R,0,1,0,0,0,0
22132,B,0,0,0,0,1,0
22133,U,1,0,0,0,0,0
22134,U,1,0,0,0,0,0
22136,,0,0,0,0,0,1
22137,R,0,1,0,0,0,0
22138,R,0,1,0,0,0,0
22145,G,0,0,1,0,0,0
22149,G,0,0,1,0,0,0
22152,BRW,0,1,0,1,1,0
22154,W,0,0,0,1,0,0
22155,RW,0,1,0,1,0,0
22158,B,0,0,0,0,1,0
22159,,0,0,0,0,0,1
22161,,0,0,0,0,0,1
22178,W,0,0,0,1,0,0
22179,R,0,1,0,0,0,0
22183,,0,0,0,0,0,1
22187,,0,0,0,0,0,1
22190,W,0,0,0,1,0,0
22191,G,0,0,1,0,0,0
22193,R,0,1,0,0,0,0
22196,G,0,0,1,0,0,0
22198,U,1,0,0,0,0,0
22200,W,0,0,0,1,0,0
22204,W,0,0,0,1,0,0
22206,W,0,0,0,1,0,0
22208,W,0,0,0,1,0,0
22211,U,1,0,0,0,0,0
22215,,0,0,0,0,0,1
22216,G,0,0,1,0,0,0
22219,W,0,0,0,1,0,0
22222,U,1,0,0,0,0,0
22231,U,1,0,0,0,0,0
22233,U,1,0,0,0,0,0
22234,R,0,1,0,0,0,0
22235,BG,0,0,1,0,1,0
22238,W,0,0,0,1,0,0
22242,W,0,0,0,1,0,0
22243,G,0,0,1,0,0,0
22247,W,0,0,0,1,0,0
22249,,0,0,0,0,0,1
22253,B,0,0,0,0,1,0
22255,,0,0,0,0,0,1
22256,R,0,1,0,0,0,0
22257,BR,0,1,0,0,1,0
22260,G,0,0,1,0,0,0
22261,G,0,0,1,0,0,0
22262,G,0,0,1,0,0,0
22263,,0,0,0,0,0,1
22265,G,0,0,1,0,0,0
22266,R,0,1,0,0,0,0
22270,B,0,0,0,0,1,0
22277,GU,1,0,1,0,0,0
22278,U,1,0,0,0,0,0
22279,G,0,0,1,0,0,0
22282,,0,0,0,0,0,1
22284,R,0,1,0,0,0,0
22286,U,1,0,0,0,0,0
22287,W,0,0,0,1,0,0
22289,,0,0,0,0,0,1
22291,R,0,1,0,0,0,0
22292,B,0,0,0,0,1,0
22294,R,0,1,0,0,0,0
22295,U,1,0,0,0,0,0
22299,B,0,0,0,0,1,0
22300,BW,0,0,0,1,1,0
22301,,0,0,0,0,0,1
22306,G,0,0,1,0,0,0
22308,B,0,0,0,0,1,0
22309,,0,0,0,0,0,1
22313,B,0,0,0,0,1,0
22317,BRW,0,1,0,1,1,0
22318,W,0,0,0,1,0,0
22322,U,1,0,0,0,0,0
22325,R,0,1,0,0,0,0
22328,GR,0,1,1,0,0,0
22330,G,0,0,1,0,0,0
22331,U,1,0,0,0,0,0
22333,,0,0,0,0,0,1
22335,U,1,0,0,0,0,0
22341,U,1,0,0,0,0,0
22347,,0,0,0,0,0,1
22349,,0,0,0,0,0,1
22350,RU,1,1,0,0,0,0
22353,W,0,0,0,1,0,0
22356,,0,0,0,0,0,1
22358,G,0,0,1,0,0,0
22359,W,0,0,0,1,0,0
22360,B,0,0,0,0,1,0
22362,R,0,1,0,0,0,0
22363,G,0,0,1,0,0,0
22364,B,0,0,0,0,1,0
22365,R,0,1,0,0,0,0
22369,,0,0,0,0,0,1
22372,W,0,0,0,1,0,0
22374,R,0,1,0,0,0,0
22377,R,0,1,0,0,0,0
22378,G,0,0,1,0,0,0
22379,G,0,0,1,0,0,0
22380,W,0,0,0,1,0,0
22381,B,0,0,0,0,1,0
22383,RW,0,1,0,1,0,0
22385,,0,0,0,0,0,1
22387,R,0,1,0,0,0,0
22393,BR,0,1,0,0,1,0
22395,G,0,0,1,0,0,0
22398,BU,1,0,0,0,1,0
22400,GRW,0,1,1,1,0,0
22401,W,0,0,0,1,0,0
22403,G,0,0,1,0,0,0
22404,R,0,1,0,0,0,0
22407,BG,0,0,1,0,1,0
22408,R,0,1,0,0,0,0
22414,B,0,0,0,0,1,0
22416,R,0,1,0,0,0,0
22421,U,1,0,0,0,0,0
22425,GR,0,1,1,0,0,0
22426,W,0,0,0,1,0,0
22428,W,0,0,0,1,0,0
22430,BW,0,0,0,1,1,0
22432,U,1,0,0,0,0,0
22434,,0,0,0,0,0,1
22436,RU,1,1,0,0,0,0
22438,G,0,0,1,0,0,0
22440,G,0,0,1,0,0,0
22443,U,1,0,0,0,0,0
22444,,0,0,0,0,0,1
22445,U,1,0,0,0,0,0
22446,W,0,0,0,1,0,0
22447,,0,0,0,0,0,1
22448,B,0,0,0,0,1,0
22449,GR,0,1,1,0,0,0
22450,,0,0,0,0,0,1
22452,W,0,0,0,1,0,0
22453,R,0,1,0,0,0,0
22456,W,0,0,0,1,0,0
22460,U,1,0,0,0,0,0
22461,R,0,1,0,0,0,0
22462,R,0,1,0,0,0,0
22463,U,1,0,0,0,0,0
22465,,0,0,0,0,0,1
22466,UW,1,0,0,1,0,0
22468,,0,0,0,0,0,1
22471,,0,0,0,0,0,1
22472,U,1,0,0,0,0,0
22473,W,0,0,0,1,0,0
22477,BUW,1,0,0,1,1,0
22481,UW,1,0,0,1,0,0
22482,G,0,0,1,0,0,0
22484,G,0,0,1,0,0,0
22486,R,0,1,0,0,0,0
22487,U,1,0,0,0,0,0
22489,G,0,0,1,0,0,0
22490,G,0,0,1,0,0,0
22492,G,0,0,1,0,0,0
22493,G,0,0,1,0,0,0
22494,G,0,0,1,0,0,0
22495,G,0,0,1,0,0,0
22496,U,1,0,0,0,0,0
22498,U,1,0,0,0,0,0
22499,GR,0,1,1,0,0,0
22503,GW,0,0,1,1,0,0
22504,GR,0,1,1,0,0,0
22505,B,0,0,0,0,1,0
22506,U,1,0,0,0,0,0
22507,,0,0,0,0,0,1
22509,G,0,0,1,0,0,0
22510,R,0,1,0,0,0,0
22511,G,0,0,1,0,0,0
22512,,0,0,0,0,0,1
22516,U,1,0,0,0,0,0
22517,U,1,0,0,0,0,0
22520,B,0,0,0,0,1,0
22521,W,0,0,0,1,0,0
22522,U,1,0,0,0,0,0
22523,W,0,0,0,1,0,0
22524,B,0,0,0,0,1,0
22526,G,0,0,1,0,0,0
22539,G,0,0,1,0,0,0
22546,R,0,1,0,0,0,0
22548,R,0,1,0,0,0,0
22551,R,0,1,0,0,0,0
22552,B,0,0,0,0,1,0
22553,G,0,0,1,0,0,0
22555,GW,0,0,1,1,0,0
22557,,0,0,0,0,0,1
22558,B,0,0,0,0,1,0
22561,W,0,0,0,1,0,0
22564,,0,0,0,0,0,1
22565,W,0,0,0,1,0,0
22567,R,0,1,0,0,0,0
22571,R,0,1,0,0,0,0
22576,,0,0,0,0,0,1
22577,BU,1,0,0,0,1,0
22582,G,0,0,1,0,0,0
22583,UW,1,0,0,1,0,0
22588,W,0,0,0,1,0,0
22591,W,0,0,0,1,0,0
22592,R,0,1,0,0,0,0
22596,U,1,0,0,0,0,0
22597,G,0,0,1,0,0,0
22598,G,0,0,1,0,0,0
22601,R,0,1,0,0,0,0
22602,R,0,1,0,0,0,0
22609,B,0,0,0,0,1,0
22615,W,0,0,0,1,0,0
22623,RW,0,1,0,1,0,0
22627,U,1,0,0,0,0,0
22629,,0,0,0,0,0,1
22640,B,0,0,0,0,1,0
22641,B,0,0,0,0,1,0
22644,U,1,0,0,0,0,0
22656,W,0,0,0,1,0,0
22657,B,0,0,0,0,1,0
22660,GU,1,0,1,0,0,0
22661,B,0,0,0,0,1,0
22662,B,0,0,0,0,1,0
22663,U,1,0,0,0,0,0
22673,G,0,0,1,0,0,0
22674,R,0,1,0,0,0,0
22676,,0,0,0,0,0,1
22677,BG,0,0,1,0,1,0
22688,R,0,1,0,0,0,0
22692,B,0,0,0,0,1,0
22708,W,0,0,0,1,0,0
22711,W,0,0,0,1,0,0
22713,W,0,0,0,1,0,0
22718,,0,0,0,0,0,1
22719,W,0,0,0,1,0,0
22721,W,0,0,0,1,0,0
22723,R,0,1,0,0,0,0
22731,,0,0,0,0,0,1
22734,RU,1,1,0,0,0,0
22735,W,0,0,0,1,0,0
22741,,0,0,0,0,0,1
22743,,0,0,0,0,0,1
22744,BGRUW,1,1,1,1,1,0
22752,U,1,0,0,0,0,0
22754,UW,1,0,0,1,0,0
22757,,0,0,0,0,0,1
22759,BG,0,0,1,0,1,0
22762,U,1,0,0,0,0,0
22763,,0,0,0,0,0,1
22764,B,0,0,0,0,1,0
22765,GW,0,0,1,1,0,0
22766,,0,0,0,0,0,1
22767,W,0,0,0,1,0,0
22769,B,0,0,0,0,1,0
22771,,0,0,0,0,0,1
22772,R,0,1,0,0,0,0
22774,,0,0,0,0,0,1
22775,U,1,0,0,0,0,0
22781,G,0,0,1,0,0,0
22782,B,0,0,0,0,1,0
22785,U,1,0,0,0,0,0
22787,,0,0,0,0,0,1
22790,W,0,0,0,1,0,0
22791,,0,0,0,0,0,1
22792,,0,0,0,0,0,1
22799,W,0,0,0,1,0,0
22801,U,1,0,0,0,0,0
22803,R,0,1,0,0,0,0
22804,G,0,0,1,0,0,0
22805,B,0,0,0,0,1,0
22806,W,0,0,0,1,0,0
22809,GU,1,0,1,0,0,0
22810,R,0,1,0,0,0,0
22811,U,1,0,0,0,0,0
22812,G,0,0,1,0,0,0
22813,U,1,0,0,0,0,0
22815,RU,1,1,0,0,0,0
22826,R,0,1,0,0,0,0
22828,B,0,0,0,0,1,0
22830,GW,0,0,1,1,0,0
22831,W,0,0,0,1,0,0
22836,U,1,0,0,0,0,0
22837,B,0,0,0,0,1,0
22838,B,0,0,0,0,1,0
22839,B,0,0,0,0,1,0
22840,,0,0,0,0,0,1
22843,G,0,0,1,0,0,0
22845,GU,1,0,1,0,0,0
22849,W,0,0,0,1,0,0
22850,,0,0,0,0,0,1
22852,U,1,0,0,0,0,0
22853,BU,1,0,0,0,1,0
22866,U,1,0,0,0,0,0
22869,B,0,0,0,0,1,0
22870,G,0,0,1,0,0,0
22872,G,0,0,1,0,0,0
22873,RW,0,1,0,1,0,0
22875,U,1,0,0,0,0,0
22876,G,0,0,1,0,0,0
22877,R,0,1,0,0,0,0
22878,W,0,0,0,1,0,0
22880,W,0,0,0,1,0,0
22881,G,0,0,1,0,0,0
22882,W,0,0,0,1,0,0
22884,R,0,1,0,0,0,0
22886,W,0,0,0,1,0,0
22887,,0,0,0,0,0,1
22889,B,0,0,0,0,1,0
22897,W,0,0,0,1,0,0
22898,,0,0,0,0,0,1
22902,BW,0,0,0,1,1,0
22909,G,0,0,1,0,0,0
22911,,0,0,0,0,0,1
22913,U,1,0,0,0,0,0
22914,,0,0,0,0,0,1
22915,G,0,0,1,0,0,0
22916,RW,0,1,0,1,0,0
22919,B,0,0,0,0,1,0
22920,G,0,0,1,0,0,0
22922,G,0,0,1,0,0,0
22923,R,0,1,0,0,0,0
22924,U,1,0,0,0,0,0
22925,BG,0,0,1,0,1,0
22929,W,0,0,0,1,0,0
22931,GW,0,0,1,1,0,0
22934,G,0,0,1,0,0,0
22935,W,0,0,0,1,0,0
22936,B,0,0,0,0,1,0
22938,W,0,0,0,1,0,0
22940,G,0,0,1,0,0,0
22944,BGU,1,0,1,0,1,0
22945,W,0,0,0,1,0,0
22949,,0,0,0,0,0,1
22951,B,0,0,0,0,1,0
22952,U,1,0,0,0,0,0
22953,R,0,1,0,0,0,0
22956,B,0,0,0,0,1,0
22957,B,0,0,0,0,1,0
22958,B,0,0,0,0,1,0
22962,W,0,0,0,1,0,0
22965,R,0,1,0,0,0,0
22967,,0,0,0,0,0,1
22968,G,0,0,1,0,0,0
22969,W,0,0,0,1,0,0
22970,R,0,1,0,0,0,0
22975,G,0,0,1,0,0,0
22977,,0,0,0,0,0,1
22981,BR,0,1,0,0,1,0
22982,R,0,1,0,0,0,0
22984,R,0,1,0,0,0,0
22987,R,0,1,0,0,0,0
22988,G,0,0,1,0,0,0
22993,U,1,0,0,0,0,0
22994,BU,1,0,0,0,1,0
22995,W,0,0,0,1,0,0
22998,B,0,0,0,0,1,0
23000,W,0,0,0,1,0,0
23003,W,0,0,0,1,0,0
23006,BU,1,0,0,0,1,0
23007,B,0,0,0,0,1,0
23008,W,0,0,0,1,0,0
23009,U,1,0,0,0,0,0
23011,BW,0,0,0,1,1,0
23013,,0,0,0,0,0,1
23014,U,1,0,0,0,0,0
23016,,0,0,0,0,0,1
23018,G,0,0,1,0,0,0
23020,B,0,0,0,0,1,0
23021,U,1,0,0,0,0,0
23023,U,1,0,0,0,0,0
23030,,0,0,0,0,0,1
23032,R,0,1,0,0,0,0
23034,,0,0,0,0,0,1
23036,B,0,0,0,0,1,0
23037,B,0,0,0,0,1,0
23041,B,0,0,0,0,1,0
23045,W,0,0,0,1,0,0
23047,U,1,0,0,0,0,0
23048,B,0,0,0,0,1,0
23049,B,0,0,0,0,1,0
23051,B,0,0,0,0,1,0
23052,G,0,0,1,0,0,0
23053,R,0,1,0,0,0,0
23062,R,0,1,0,0,0,0
23065,R,0,1,0,0,0,0
23069,G,0,0,1,0,0,0
23070,G,0,0,1,0,0,0
23074,W,0,0,0,1,0,0
23076,U,1,0,0,0,0,0
23079,W,0,0,0,1,0,0
23081,,0,0,0,0,0,1
23089,W,0,0,0,1,0,0
23091,W,0,0,0,1,0,0
23092,B,0,0,0,0,1,0
23093,W,0,0,0,1,0,0
23094,G,0,0,1,0,0,0
23095,R,0,1,0,0,0,0
23098,,0,0,0,0,0,1
23100,U,1,0,0,0,0,0
23109,R,0,1,0,0,0,0
23110,G,0,0,1,0,0,0
23111,BG,0,0,1,0,1,0
23114,U,1,0,0,0,0,0
23115,,0,0,0,0,0,1
23116,B,0,0,0,0,1,0
23117,B,0,0,0,0,1,0
23121,G,0,0,1,0,0,0
23124,G,0,0,1,0,0,0
23126,B,0,0,0,0,1,0
23128,U,1,0,0,0,0,0
23132,R,0,1,0,0,0,0
23138,B,0,0,0,0,1,0
23140,,0,0,0,0,0,1
23146,W,0,0,0,1,0,0
23147,,0,0,0,0,0,1
23148,B,0,0,0,0,1,0
23149,BRW,0,1,0,1,1,0
23150,,0,0,0,0,0,1
23152,,0,0,0,0,0,1
23157,G,0,0,1,0,0,0
23166,,0,0,0,0,0,1
23168,U,1,0,0,0,0,0
23171,U,1,0,0,0,0,0
23177,BW,0,0,0,1,1,0
23179,R,0,1,0,0,0,0
23183,R,0,1,0,0,0,0
23186,W,0,0,0,1,0,0
23191,U,1,0,0,0,0,0
23192,GW,0,0,1,1,0,0
23196,U,1,0,0,0,0,0
23197,B,0,0,0,0,1,0
23202,B,0,0,0,0,1,0
23204,U,1,0,0,0,0,0
23208,,0,0,0,0,0,1
23210,W,0,0,0,1,0,0
23211,W,0,0,0,1,0,0
23215,W,0,0,0,1,0,0
23216,U,1,0,0,0,0,0
23223,,0,0,0,0,0,1
23228,,0,0,0,0,0,1
23230,G,0,0,1,0,0,0
23232,W,0,0,0,1,0,0
23233,G,0,0,1,0,0,0
23235,R,0,1,0,0,0,0
23237,B,0,0,0,0,1,0
23239,W,0,0,0,1,0,0
23242,W,0,0,0,1,0,0
23243,U,1,0,0,0,0,0
23245,R,0,1,0,0,0,0
23249,U,1,0,0,0,0,0
23250,W,0,0,0,1,0,0
23253,B,0,0,0,0,1,0
23257,U,1,0,0,0,0,0
23258,R,0,1,0,0,0,0
23262,G,0,0,1,0,0,0
23264,R,0,1,0,0,0,0
23265,G,0,0,1,0,0,0
23266,W,0,0,0,1,0,0
23269,UW,1,0,0,1,0,0
23274,G,0,0,1,0,0,0
23284,,0,0,0,0,0,1
23286,B,0,0,0,0,1,0
23287,B,0,0,0,0,1,0
23289,G,0,0,1,0,0,0
23291,B,0,0,0,0,1,0
23293,R,0,1,0,0,0,0
23294,B,0,0,0,0,1,0
23296,G,0,0,1,0,0,0
23298,U,1,0,0,0,0,0
23299,G,0,0,1,0,0,0
23300,W,0,0,0,1,0,0
23302,R,0,1,0,0,0,0
23303,,0,0,0,0,0,1
23312,RW,0,1,0,1,0,0
23314,G,0,0,1,0,0,0
23320,BG,0,0,1,0,1,0
23322,R,0,1,0,0,0,0
23328,GW,0,0,1,1,0,0
23330,R,0,1,0,0,0,0
23331,U,1,0,0,0,0,0
23333,U,1,0,0,0,0,0
23334,R,0,1,0,0,0,0
23337,R,0,1,0,0,0,0
23338,U,1,0,0,0,0,0
23339,R,0,1,0,0,0,0
23343,UW,1,0,0,1,0,0
23346,B,0,0,0,0,1,0
23353,G,0,0,1,0,0,0
23359,W,0,0,0,1,0,0
23360,GR,0,1,1,0,0,0
23364,G,0,0,1,0,0,0
23366,G,0,0,1,0,0,0
23367,R,0,1,0,0,0,0
23368,W,0,0,0,1,0,0
23369,R,0,1,0,0,0,0
23370,R,0,1,0,0,0,0
23372,G,0,0,1,0,0,0
23376,,0,0,0,0,0,1
23382,B,0,0,0,0,1,0
23384,W,0,0,0,1,0,0
23390,,0,0,0,0,0,1
23395,B,0,0,0,0,1,0
23398,G,0,0,1,0,0,0
23401,W,0,0,0,1,0,0
23402,B,0,0,0,0,1,0
23407,B,0,0,0,0,1,0
23409,RW,0,1,0,1,0,0
23411,UW,1,0,0,1,0,0
23416,R,0,1,0,0,0,0
23418,B,0,0,0,0,1,0
23422,GU,1,0,1,0,0,0
23424,BR,0,1,0,0,1,0
23431,B,0,0,0,0,1,0
23432,RU,1,1,0,0,0,0
23433,U,1,0,0,0,0,0
23437,,0,0,0,0,0,1
23439,B,0,0,0,0,1,0
23442,B,0,0,0,0,1,0
23445,B,0,0,0,0,1,0
23446,U,1,0,0,0,0,0
23447,G,0,0,1,0,0,0
23448,,0,0,0,0,0,1
23450,B,0,0,0,0,1,0
23451,RW,0,1,0,1,0,0
23452,R,0,1,0,0,0,0
23457,B,0,0,0,0,1,0
23459,B,0,0,0,0,1,0
23460,R,0,1,0,0,0,0
23461,GW,0,0,1,1,0,0
23462,W,0,0,0,1,0,0
23463,W,0,0,0,1,0,0
23464,,0,0,0,0,0,1
23465,W,0,0,0,1,0,0
23466,B,0,0,0,0,1,0
23471,B,0,0,0,0,1,0
23475,U,1,0,0,0,0,0
23477,W,0,0,0,1,0,0
23481,U,1,0,0,0,0,0
23486,B,0,0,0,0,1,0
23487,W,0,0,0,1,0,0
23491,,0,0,0,0,0,1
23493,U,1,0,0,0,0,0
23494,R,0,1,0,0,0,0
23497,U,1,0,0,0,0,0
23502,BU,1,0,0,0,1,0
23504,B,0,0,0,0,1,0
23507,R,0,1,0,0,0,0
23511,U,1,0,0,0,0,0
23518,G,0,0,1,0,0,0
23519,,0,0,0,0,0,1
23521,U,1,0,0,0,0,0
23533,R,0,1,0,0,0,0
23538,G,0,0,1,0,0,0
23540,B,0,0,0,0,1,0
23542,GR,0,1,1,0,0,0
23548,R,0,1,0,0,0,0
23550,B,0,0,0,0,1,0
23557,W,0,0,0,1,0,0
23560,W,0,0,0,1,0,0
23562,G,0,0,1,0,0,0
23566,GU,1,0,1,0,0,0
23571,U,1,0,0,0,0,0
23575,RU,1,1,0,0,0,0
23576,U,1,0,0,0,0,0
23578,BGR,0,1,1,0,1,0
23583,R,0,1,0,0,0,0
23584,GUW,1,0,1,1,0,0
23586,W,0,0,0,1,0,0
23587,R,0,1,0,0,0,0
23588,U,1,0,0,0,0,0
23590,G,0,0,1,0,0,0
23593,R,0,1,0,0,0,0
23595,G,0,0,1,0,0,0
23596,,0,0,0,0,0,1
23598,R,0,1,0,0,0,0
23602,U,1,0,0,0,0,0
23603,W,0,0,0,1,0,0
23605,B,0,0,0,0,1,0
23607,G,0,0,1,0,0,0
23613,U,1,0,0,0,0,0
23618,B,0,0,0,0,1,0
23619,W,0,0,0,1,0,0
23620,G,0,0,1,0,0,0
23622,R,0,1,0,0,0,0
23623,R,0,1,0,0,0,0
23624,B,0,0,0,0,1,0
23627,,0,0,0,0,0,1
23629,BR,0,1,0,0,1,0
23634,B,0,0,0,0,1,0
23636,R,0,1,0,0,0,0
23638,B,0,0,0,0,1,0
23639,BU,1,0,0,0,1,0
23642,,0,0,0,0,0,1
23646,,0,0,0,0,0,1
23647,B,0,0,0,0,1,0
23650,,0,0,0,0,0,1
23652,U,1,0,0,0,0,0
23653,U,1,0,0,0,0,0
23658,G,0,0,1,0,0,0
23659,U,1,0,0,0,0,0
23660,B,0,0,0,0,1,0
23666,B,0,0,0,0,1,0
23669,,0,0,0,0,0,1
23671,G,0,0,1,0,0,0
23672,R,0,1,0,0,0,0
23673,U,1,0,0,0,0,0
23674,U,1,0,0,0,0,0
23676,B,0,0,0,0,1,0
23680,B,0,0,0,0,1,0
23685,,0,0,0,0,0,1
23687,G,0,0,1,0,0,0
23690,G,0,0,1,0,0,0
23692,W,0,0,0,1,0,0
23704,G,0,0,1,0,0,0
23708,GU,1,0,1,0,0,0
23709,R,0,1,0,0,0,0
23710,U,1,0,0,0,0,0
23714,B,0,0,0,0,1,0
23716,,0,0,0,0,0,1
23720,GU,1,0,1,0,0,0
23722,R,0,1,0,0,0,0
23723,B,0,0,0,0,1,0
23728,W,0,0,0,1,0,0
23729,BR,0,1,0,0,1,0
23736,W,0,0,0,1,0,0
23742,UW,1,0,0,1,0,0
23744,BGW,0,0,1,1,1,0
23746,BR,0,1,0,0,1,0
23747,U,1,0,0,0,0,0
23752,B,0,0,0,0,1,0
23759,U,1,0,0,0,0,0
23762,BG,0,0,1,0,1,0
23765,,0,0,0,0,0,1
23766,G,0,0,1,0,0,0
23768,G,0,0,1,0,0,0
23770,U,1,0,0,0,0,0
23773,G,0,0,1,0,0,0
23775,B,0,0,0,0,1,0
23776,B,0,0,0,0,1,0
23778,BG,0,0,1,0,1,0
23782,W,0,0,0,1,0,0
23787,U,1,0,0,0,0,0
23792,W,0,0,0,1,0,0
23793,B,0,0,0,0,1,0
23795,W,0,0,0,1,0,0
23797,G,0,0,1,0,0,0
23800,BRU,1,1,0,0,1,0
23801,R,0,1,0,0,0,0
23803,RU,1,1,0,0,0,0
23805,UW,1,0,0,1,0,0
23808,GR,0,1,1,0,0,0
23809,G,0,0,1,0,0,0
23811,R,0,1,0,0,0,0
23814,B,0,0,0,0,1,0
23815,BUW,1,0,0,1,1,0
23819,R,0,1,0,0,0,0
23820,G,0,0,1,0,0,0
23822,R,0,1,0,0,0,0
23825,RW,0,1,0,1,0,0
23826,G,0,0,1,0,0,0
23830,W,0,0,0,1,0,0
23843,G,0,0,1,0,0,0
23844,R,0,1,0,0,0,0
23847,U,1,0,0,0,0,0
23851,U,1,0,0,0,0,0
23853,BR,0,1,0,0,1,0
23855,W,0,0,0,1,0,0
23856,U,1,0,0,0,0,0
23857,B,0,0,0,0,1,0
23858,R,0,1,0,0,0,0
23864,R,0,1,0,0,0,0
23865,U,1,0,0,0,0,0
23866,,0,0,0,0,0,1
23867,U,1,0,0,0,0,0
23872,,0,0,0,0,0,1
23878,GR,0,1,1,0,0,0
23881,R,0,1,0,0,0,0
23882,B,0,0,0,0,1,0
23887,G,0,0,1,0,0,0
23888,R,0,1,0,0,0,0
23890,,0,0,0,0,0,1
23891,R,0,1,0,0,0,0
23892,R,0,1,0,0,0,0
23894,R,0,1,0,0,0,0
23895,,0,0,0,0,0,1
23896,B,0,0,0,0,1,0
23898,G,0,0,1,0,0,0
23899,,0,0,0,0,0,1
23901,B,0,0,0,0,1,0
23903,B,0,0,0,0,1,0
23910,R,0,1,0,0,0,0
23915,B,0,0,0,0,1,0
23920,G,0,0,1,0,0,0
23921,B,0,0,0,0,1,0
23922,B,0,0,0,0,1,0
23924,R,0,1,0,0,0,0
23929,B,0,0,0,0,1,0
23931,G,0,0,1,0,0,0
23935,U,1,0,0,0,0,0
23936,R,0,1,0,0,0,0
23938,GR,0,1,1,0,0,0
23940,R,0,1,0,0,0,0
23942,G,0,0,1,0,0,0
23943,UW,1,0,0,1,0,0
23944,W,0,0,0,1,0,0
23945,U,1,0,0,0,0,0
23948,B,0,0,0,0,1,0
23949,B,0,0,0,0,1,0
23952,UW,1,0,0,1,0,0
23953,B,0,0,0,0,1,0
23956,W,0,0,0,1,0,0
23957,U,1,0,0,0,0,0
23960,B,0,0,0,0,1,0
23964,BU,1,0,0,0,1,0
23966,,0,0,0,0,0,1
23967,W,0,0,0,1,0,0
23970,B,0,0,0,0,1,0
23971,W,0,0,0,1,0,0
23973,R,0,1,0,0,0,0
23976,,0,0,0,0,0,1
23978,G,0,0,1,0,0,0
23984,W,0,0,0,1,0,0
23987,,0,0,0,0,0,1
23990,R,0,1,0,0,0,0
23991,,0,0,0,0,0,1
23992,U,1,0,0,0,0,0
23993,B,0,0,0,0,1,0
23994,B,0,0,0,0,1,0
23997,BR,0,1,0,0,1,0
24001,R,0,1,0,0,0,0
24002,G,0,0,1,0,0,0
24003,GR,0,1,1,0,0,0
24006,,0,0,0,0,0,1
24008,B,0,0,0,0,1,0
24010,B,0,0,0,0,1,0
24011,R,0,1,0,0,0,0
24012,B,0,0,0,0,1,0
24013,W,0,0,0,1,0,0
24018,,0,0,0,0,0,1
24020,BR,0,1,0,0,1,0
24022,G,0,0,1,0,0,0
24025,G,0,0,1,0,0,0
24026,B,0,0,0,0,1,0
24027,,0,0,0,0,0,1
24028,,0,0,0,0,0,1
24029,U,1,0,0,0,0,0
24042,R,0,1,0,0,0,0
24043,U,1,0,0,0,0,0
24045,RU,1,1,0,0,0,0
24048,U,1,0,0,0,0,0
24049,G,0,0,1,0,0,0
24052,B,0,0,0,0,1,0
24056,G,0,0,1,0,0,0
24058,W,0,0,0,1,0,0
24060,U,1,0,0,0,0,0
24061,W,0,0,0,1,0,0
24064,B,0,0,0,0,1,0
24066,,0,0,0,0,0,1
24069,GW,0,0,1,1,0,0
24070,,0,0,0,0,0,1
24073,R,0,1,0,0,0,0
24074,G,0,0,1,0,0,0
24075,G,0,0,1,0,0,0
24077,W,0,0,0,1,0,0
24080,,0,0,0,0,0,1
24081,B,0,0,0,0,1,0
24082,W,0,0,0,1,0,0
24085,W,0,0,0,1,0,0
24086,W,0,0,0,1,0,0
24088,,0,0,0,0,0,1
24093,BW,0,0,0,1,1,0
24094,R,0,1,0,0,0,0
24097,U,1,0,0,0,0,0
24101,U,1,0,0,0,0,0
24102,B,0,0,0,0,1,0
24103,R,0,1,0,0,0,0
24106,R,0,1,0,0,0,0
24107,RU,1,1,0,0,0,0
24108,B,0,0,0,0,1,0
24109,,0,0,0,0,0,1
24111,,0,0,0,0,0,1
24112,G,0,0,1,0,0,0
24114,G,0,0,1,0,0,0
24115,R,0,1,0,0,0,0
24117,RUW,1,1,0,1,0,0
24126,W,0,0,0,1,0,0
24130,W,0,0,0,1,0,0
24131,R,0,1,0,0,0,0
24132,B,0,0,0,0,1,0
24133,BR,0,1,0,0,1,0
24134,R,0,1,0,0,0,0
24139,,0,0,0,0,0,1
24143,R,0,1,0,0,0,0
24144,R,0,1,0,0,0,0
24145,BGRUW,1,1,1,1,1,0
24147,W,0,0,0,1,0,0
24154,W,0,0,0,1,0,0
24156,GW,0,0,1,1,0,0
24162,,0,0,0,0,0,1
24164,U,1,0,0,0,0,0
24165,R,0,1,0,0,0,0
24167,U,1,0,0,0,0,0
24171,BR,0,1,0,0,1,0
24173,GR,0,1,1,0,0,0
24176,R,0,1,0,0,0,0
24178,W,0,0,0,1,0,0
24180,W,0,0,0,1,0,0
24183,W,0,0,0,1,0,0
24187,G,0,0,1,0,0,0
24189,W,0,0,0,1,0,0
24190,,0,0,0,0,0,1
24193,W,0,0,0,1,0,0
24200,B,0,0,0,0,1,0
24202,B,0,0,0,0,1,0
24203,G,0,0,1,0,0,0
24207,R,0,1,0,0,0,0
24211,B,0,0,0,0,1,0
24212,GW,0,0,1,1,0,0
24215,R,0,1,0,0,0,0
24223,BG,0,0,1,0,1,0
24224,B,0,0,0,0,1,0
24233,UW,1,0,0,1,0,0
24234,G,0,0,1,0,0,0
24238,W,0,0,0,1,0,0
24239,R,0,1,0,0,0,0
24241,B,0,0,0,0,1,0
